                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.14225,                0.96183,                      1,                 0.3495,             0.00023662,             0.00023662,             0.00023662
                      2,                0.08837,                0.96183,                      1,                0.35062,             0.00046993,             0.00046993,             0.00046993
                      3,                0.07157,                0.96438,                      1,                0.35594,             0.00069851,             0.00069851,             0.00069851
                      4,                0.05624,                0.98473,                      1,                0.32649,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05739,                0.99491,                      1,                0.32277,             0.00069279,             0.00069279,             0.00069279
                      6,                0.05461,                0.98219,                      1,                 0.3291,             0.00068573,             0.00068573,             0.00068573
                      7,                0.03636,                0.98473,                      1,                0.32497,             0.00067866,             0.00067866,             0.00067866
                      8,                0.04436,                0.98473,                      1,                0.32873,             0.00067159,             0.00067159,             0.00067159
                      9,                0.05476,                0.98219,                      1,                0.32905,             0.00066452,             0.00066452,             0.00066452
                     10,                0.04827,                0.98473,                      1,                0.32638,             0.00065745,             0.00065745,             0.00065745
                     11,                0.04971,                0.98982,                      1,                0.32136,             0.00065038,             0.00065038,             0.00065038
                     12,                0.02621,                0.98728,                      1,                0.32758,             0.00064331,             0.00064331,             0.00064331
                     13,                0.02638,                0.98982,                      1,                0.32334,             0.00063625,             0.00063625,             0.00063625
                     14,                0.02728,                0.99746,                      1,                0.31755,             0.00062918,             0.00062918,             0.00062918
                     15,                0.03517,                0.99237,                      1,                0.31873,             0.00062211,             0.00062211,             0.00062211
                     16,                0.03089,                0.98728,                      1,                0.32426,             0.00061504,             0.00061504,             0.00061504
                     17,                0.02462,                0.99746,                      1,                0.31659,             0.00060797,             0.00060797,             0.00060797
                     18,                0.01835,                0.99237,                      1,                 0.3193,              0.0006009,              0.0006009,              0.0006009
                     19,                0.03228,                0.98982,                      1,                0.32272,             0.00059383,             0.00059383,             0.00059383
                     20,                0.02382,                0.99237,                      1,                0.32343,             0.00058677,             0.00058677,             0.00058677
                     21,                0.02671,                0.99237,                      1,                0.32127,              0.0005797,              0.0005797,              0.0005797
                     22,                0.02912,                0.99491,                      1,                0.31894,             0.00057263,             0.00057263,             0.00057263
                     23,                0.02795,                0.99746,                      1,                 0.3162,             0.00056556,             0.00056556,             0.00056556
                     24,                0.02497,                0.97964,                      1,                0.32713,             0.00055849,             0.00055849,             0.00055849
                     25,                0.01774,                0.98982,                      1,                0.32005,             0.00055142,             0.00055142,             0.00055142
                     26,                0.01647,                0.99746,                      1,                0.31797,             0.00054435,             0.00054435,             0.00054435
                     27,                0.01741,                0.99491,                      1,                0.31883,             0.00053728,             0.00053728,             0.00053728
                     28,                0.02093,                      1,                      1,                0.31404,             0.00053022,             0.00053022,             0.00053022
                     29,                0.01283,                0.98982,                      1,                0.32157,             0.00052315,             0.00052315,             0.00052315
                     30,                0.01732,                0.98219,                      1,                0.32982,             0.00051608,             0.00051608,             0.00051608
                     31,                 0.0191,                0.99746,                      1,                0.31761,             0.00050901,             0.00050901,             0.00050901
                     32,                0.02803,                      1,                      1,                0.31547,             0.00050194,             0.00050194,             0.00050194
                     33,                 0.0237,                0.99237,                      1,                0.32161,             0.00049487,             0.00049487,             0.00049487
                     34,                0.02652,                0.99746,                      1,                0.31691,              0.0004878,              0.0004878,              0.0004878
                     35,                0.02532,                0.98982,                      1,                0.31996,             0.00048074,             0.00048074,             0.00048074
                     36,                0.01922,                0.98982,                      1,                0.32223,             0.00047367,             0.00047367,             0.00047367
                     37,                0.01844,                0.99491,                      1,                0.31701,              0.0004666,              0.0004666,              0.0004666
                     38,                0.02224,                0.99491,                      1,                0.31954,             0.00045953,             0.00045953,             0.00045953
                     39,                0.02148,                0.99237,                      1,                0.31994,             0.00045246,             0.00045246,             0.00045246
                     40,                0.01214,                0.99491,                      1,                0.31808,             0.00044539,             0.00044539,             0.00044539
                     41,                0.01035,                0.99491,                      1,                0.31815,             0.00043832,             0.00043832,             0.00043832
