                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0564,                 5.5824,                 4.8178,                  4.086,                0.00079,                0.24913,                0.02011,                0.00488,                 0.0002,                0.05001,                0.00594,                0.00064,                  2.517,                 4.8141,                 4.9116,                 4.0118,             0.00046998,             0.00046998,             0.00046998
                      2,                 2.8247,                 3.2736,                 4.1908,                 3.3939,                0.23035,                0.05818,                0.02806,                0.01009,                0.23367,                0.02484,                0.02195,                0.01291,                 2.9863,                 37.364,                 12.534,                 5.3507,             0.00094163,             0.00094163,             0.00094163
                      3,                 2.4902,                 2.8791,                 3.6164,                 2.9504,                0.13669,                0.06185,                0.04103,                 0.0168,                0.14613,                0.06433,                0.04529,                0.02169,                 2.2986,                 5.8306,                 4.1277,                 3.2047,              0.0014086,              0.0014086,              0.0014086
                      4,                 2.1676,                 2.7073,                 3.0195,                 2.6266,                0.20368,                0.31339,                0.20392,                 0.0962,                0.20935,                0.31967,                0.20315,                0.12365,                 1.8039,                 2.5173,                 3.0312,                 2.4175,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.8596,                 2.4646,                 2.5831,                 2.3392,                0.32496,                0.52532,                0.28042,                0.15887,                0.33176,                0.53186,                0.28623,                0.16778,                 1.4925,                 2.5529,                  2.884,                 2.1198,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.6823,                 2.3262,                 2.2998,                 2.1346,                0.32224,                0.56796,                0.33285,                0.19734,                 0.3174,                 0.5735,                 0.3234,                0.21258,                 1.3902,                 2.2254,                 2.2421,                 1.9247,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6224,                 2.2575,                 2.2137,                  2.055,                0.29552,                0.54072,                0.34424,                0.20796,                0.29681,                0.56883,                 0.3476,                0.22691,                 1.3769,                 2.0882,                 2.4945,                 1.9865,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.5162,                 2.1344,                  2.077,                 1.9362,                 0.4163,                0.57733,                 0.4064,                0.24889,                0.41598,                0.57421,                0.39998,                0.26551,                 1.3845,                 2.0921,                 1.9451,                 1.8971,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4617,                 2.0589,                 1.9821,                 1.8921,                0.41482,                0.54603,                0.42358,                0.27412,                0.41482,                0.54603,                0.42071,                0.29184,                 1.2995,                 2.0524,                 1.9118,                 1.8872,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.3929,                  1.994,                 1.9262,                 1.8083,                0.41837,                 0.6628,                  0.454,                0.31037,                0.42299,                0.65681,                0.45139,                0.31956,                 1.1229,                 1.9121,                 1.9209,                 1.7116,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.3568,                 1.9503,                 1.8644,                 1.7716,                0.40082,                 0.6168,                0.41727,                 0.2904,                0.40185,                  0.621,                0.41465,                0.29946,                 1.1475,                 1.9611,                 1.7822,                 1.6612,              0.0013653,              0.0013653,              0.0013653
                     12,                  1.317,                 1.9427,                 1.8322,                 1.7471,                0.45173,                0.66717,                0.52716,                 0.3733,                0.46602,                0.66739,                0.52913,                0.38437,                 1.1326,                   1.85,                 1.7793,                 1.6797,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.2742,                 1.8488,                 1.7971,                 1.7036,                0.45125,                0.59686,                0.48074,                0.33958,                0.44602,                0.58887,                0.47015,                0.35933,                 1.1314,                 1.7703,                  1.778,                 1.6687,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.2306,                 1.9125,                 1.7075,                 1.6672,                0.42714,                0.59256,                0.45867,                0.31524,                0.40837,                0.65096,                0.44883,                0.33293,                 1.1758,                 1.8356,                 1.7589,                 1.7504,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2082,                 1.8068,                 1.7068,                  1.629,                0.43143,                0.64515,                0.49864,                0.35573,                0.42944,                0.63584,                0.48658,                0.36721,                 1.0346,                 1.7582,                 1.6184,                 1.6039,               0.001337,               0.001337,               0.001337
                     16,                 1.2247,                   1.84,                 1.7454,                 1.6467,                0.41634,                 0.7433,                 0.4779,                0.33721,                0.40701,                0.72732,                0.46293,                 0.3368,                 1.0562,                 1.8657,                  1.624,                 1.5567,                0.00133,                0.00133,                0.00133
                     17,                 1.1904,                 1.8105,                 1.6617,                 1.6093,                0.42069,                0.58429,                0.44173,                0.30312,                0.38985,                0.67015,                0.42935,                0.31034,                 1.1076,                 1.8354,                 1.6693,                 1.6198,              0.0013229,              0.0013229,              0.0013229
                     18,                  1.161,                  1.777,                 1.6508,                 1.5916,                0.41917,                 0.7093,                0.44383,                0.32539,                0.42073,                0.68704,                0.44082,                0.33414,                 0.9827,                  1.861,                  1.627,                 1.5241,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.1356,                  1.759,                 1.5905,                 1.5594,                0.34196,                 0.6822,                0.36239,                0.25544,                0.33924,                0.66865,                0.35714,                0.26949,                 1.2134,                 1.9602,                 2.0531,                 1.7156,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.1696,                  1.808,                 1.6297,                 1.5946,                0.50324,                0.72606,                0.55388,                0.39967,                0.49331,                0.71522,                0.53417,                0.39986,                0.94465,                 1.6141,                  1.466,                 1.4732,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.1208,                 1.7252,                 1.5976,                 1.5494,                0.40837,                0.77866,                0.42229,                0.30611,                0.40592,                0.77067,                0.41512,                0.31853,                0.95808,                 1.7054,                 1.5251,                 1.4845,              0.0012946,              0.0012946,              0.0012946
                     22,                  1.116,                 1.7095,                 1.5363,                 1.5456,                0.53531,                0.70698,                0.59004,                0.43313,                0.53032,                0.70442,                0.57926,                0.43407,                0.90909,                 1.6379,                 1.3728,                 1.4643,              0.0012875,              0.0012875,              0.0012875
                     23,                   1.13,                 1.6754,                 1.5116,                 1.5452,                0.51028,                0.70496,                0.57857,                0.42291,                0.50366,                0.70818,                0.56231,                0.41685,                0.93368,                 1.6895,                 1.3771,                 1.4955,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.1027,                 1.6784,                 1.5259,                 1.5194,                0.52627,                0.76019,                0.57531,                0.41692,                0.52335,                0.71505,                0.55413,                0.41482,                0.92293,                 1.7307,                 1.3334,                 1.4682,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0345,                 1.7006,                 1.4802,                 1.4846,                0.48098,                0.73849,                0.52814,                0.37614,                0.48233,                0.72862,                0.51826,                0.37855,                0.93778,                 1.6599,                 1.4292,                 1.4992,              0.0012663,              0.0012663,              0.0012663
                     26,                  1.065,                  1.629,                 1.5055,                 1.5128,                0.46539,                 0.7442,                0.52478,                0.38392,                0.45891,                0.73805,                0.51038,                0.37969,                0.94667,                 1.6626,                 1.3684,                  1.498,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.0763,                 1.7119,                 1.5167,                 1.5171,                0.48322,                0.71344,                0.56787,                0.41888,                0.47231,                0.70083,                 0.5501,                0.41148,                0.94461,                 1.6807,                  1.364,                 1.4975,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.0252,                 1.6306,                 1.4463,                 1.4683,                 0.4748,                0.66158,                0.52084,                0.37923,                0.46967,                0.65383,                0.51743,                0.38733,                0.99663,                  1.717,                 1.4362,                 1.5115,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.0682,                 1.6538,                 1.4553,                 1.4993,                0.50581,                0.71442,                0.61683,                0.44056,                0.49592,                0.70424,                0.59381,                0.44301,                0.92425,                 1.5906,                 1.3284,                 1.4491,               0.001238,               0.001238,               0.001238
                     30,                 1.0297,                 1.6373,                 1.4545,                 1.4833,                0.45915,                0.76713,                0.50578,                0.37776,                0.45345,                0.75671,                0.49639,                0.37693,                0.92682,                   1.69,                 1.3636,                  1.495,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0299,                 1.5988,                 1.4404,                 1.4775,                0.48751,                0.69814,                0.57263,                0.43605,                0.47887,                0.68577,                0.55805,                0.43683,                0.90132,                 1.6599,                 1.2793,                 1.4338,              0.0012239,              0.0012239,              0.0012239
