                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8069,                 3.5277,                 3.6199,                0.09921,                0.13651,                0.05031,                0.01855,                 2.2089,                 3.7015,                 2.9672,             0.00066328,             0.00066328,             0.00066328
                      2,                 2.0725,                 2.1608,                 2.5391,                0.72462,                0.80192,                0.83233,                0.45474,                 1.5774,                 1.5817,                 2.0666,              0.0013212,              0.0013212,              0.0013212
                      3,                 1.7993,                 1.6778,                 2.2183,                0.76914,                0.78413,                0.82447,                0.45509,                 1.5037,                 1.6659,                 2.0263,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.6937,                 1.5029,                 2.1135,                0.80884,                0.79683,                0.85381,                0.48478,                 1.4619,                  1.611,                 1.9438,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.6344,                 1.3733,                 2.0464,                 0.8598,                0.83718,                0.90345,                0.47976,                 1.6138,                 1.2299,                 2.0026,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5399,                 1.2685,                 1.9586,                0.87922,                0.81587,                  0.902,                0.53537,                 1.4351,                 1.0757,                 1.9378,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.5242,                 1.2056,                 1.9426,                0.91152,                0.84762,                  0.924,                0.52861,                 1.5091,                 1.0316,                   1.95,               0.001934,               0.001934,               0.001934
                      8,                 1.4898,                 1.1527,                 1.9016,                0.77586,                0.65397,                0.76053,                0.44565,                 1.5691,                 1.5909,                 2.0165,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.4738,                  1.116,                 1.8915,                0.86653,                0.80379,                0.89516,                0.55622,                 1.3407,                 1.0063,                 1.8271,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4694,                  1.097,                 1.8911,                0.95812,                0.87937,                0.94941,                0.61069,                 1.2962,                0.87614,                 1.7857,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4288,                 1.0563,                 1.8485,                0.93045,                0.84939,                0.92843,                0.57031,                 1.4206,                0.94934,                 1.8748,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4472,                 1.0572,                 1.8503,                0.91586,                0.89848,                0.93367,                0.56613,                 1.3552,                0.88748,                 1.7998,               0.001868,               0.001868,               0.001868
                     13,                 1.4261,                 1.0396,                  1.849,                0.92635,                0.88571,                0.94841,                0.58927,                 1.3767,                0.84936,                 1.8187,              0.0018548,              0.0018548,              0.0018548
                     14,                  1.388,                0.99261,                 1.8099,                0.92027,                0.90794,                0.94923,                0.49043,                 1.6658,                0.92362,                 2.0537,              0.0018416,              0.0018416,              0.0018416
                     15,                  1.406,                  0.995,                 1.8226,                0.93137,                0.90467,                0.95461,                 0.5874,                 1.3568,                0.78216,                 1.7868,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.3826,                0.95923,                 1.8068,                0.89188,                0.83175,                0.90863,                0.48268,                 1.5606,                0.95045,                 1.9388,              0.0018152,              0.0018152,              0.0018152
                     17,                  1.392,                0.95523,                 1.7995,                0.90548,                0.85079,                0.91984,                0.56959,                 1.3842,                0.89622,                 1.8057,               0.001802,               0.001802,               0.001802
                     18,                   1.37,                0.94185,                 1.7906,                0.89978,                0.85508,                0.92362,                0.58464,                  1.353,                0.87178,                 1.7737,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.3496,                0.90539,                 1.7609,                0.92589,                0.91222,                0.95599,                0.56521,                 1.4814,                0.78406,                 1.8939,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.3497,                0.91866,                 1.7752,                0.95233,                0.88889,                0.96186,                0.61768,                 1.3067,                  0.763,                  1.751,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.3647,                0.93014,                 1.7715,                0.95763,                0.93016,                0.96859,                0.61078,                 1.3505,                0.70514,                 1.8094,              0.0017492,              0.0017492,              0.0017492
                     22,                 1.3534,                0.90809,                 1.7638,                0.95008,                0.90634,                0.95806,                0.63445,                 1.2687,                0.73838,                 1.7112,               0.001736,               0.001736,               0.001736
                     23,                 1.3409,                0.89225,                 1.7512,                0.95461,                0.87302,                 0.9544,                0.61888,                 1.2715,                0.76808,                 1.7475,              0.0017228,              0.0017228,              0.0017228
