                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0168,                 6.5087,                 4.9196,                 4.1636,                0.00045,                0.19274,                0.00034,                  6e-05,                  3e-05,                0.01354,                  2e-05,                      0,                 2.5673,                  5.085,                 4.5971,                 4.1051,             0.00046346,             0.00046346,             0.00046346
                      2,                 2.8588,                 3.3668,                 4.1888,                 3.5082,                0.22384,                0.43675,                0.04125,                0.01316,                0.00189,                0.20932,                0.00634,                0.00348,                 2.3413,                 4.7634,                 4.3994,                 3.3289,             0.00093514,             0.00093514,             0.00093514
                      3,                 2.6611,                 3.0243,                 3.7349,                 3.1142,                0.02202,                0.35717,                0.02228,                0.00903,                0.02009,                0.26921,                0.01977,                0.00848,                 2.1727,                  5.246,                 24.025,                 2.9721,              0.0014021,              0.0014021,              0.0014021
                      4,                 2.3787,                  2.695,                 3.2362,                 2.8184,                  0.271,                0.40559,                0.22807,                 0.1085,                0.28185,                0.43106,                0.23492,                0.12989,                 1.9289,                 3.0045,                 7.2347,                 2.5156,              0.0014078,              0.0014078,              0.0014078
                      5,                 2.0284,                 2.5053,                 2.7115,                 2.5317,                0.28201,                0.46574,                 0.2781,                0.14662,                0.28436,                0.46841,                 0.2739,                0.17277,                  1.736,                 2.3239,                 2.2621,                  2.271,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.7584,                 2.2667,                  2.383,                 2.2585,                0.38549,                0.48581,                 0.3942,                0.22293,                0.38692,                0.48824,                0.38952,                0.24768,                 1.4796,                  2.356,                 2.9619,                 2.0268,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6124,                 2.1683,                 2.1706,                 2.0793,                0.39836,                0.64625,                0.43787,                0.28035,                0.39836,                0.64625,                0.42978,                0.29535,                 1.2957,                 2.1166,                 1.9365,                 1.8109,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.5348,                 2.1408,                 2.0924,                 1.9989,                   0.43,                0.59402,                0.47322,                0.27979,                0.42673,                0.58871,                0.47606,                 0.3121,                 1.3208,                 1.9439,                 1.8227,                 1.8876,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4551,                  2.043,                 1.9794,                  1.922,                0.42016,                0.61309,                0.46521,                0.29515,                0.41977,                0.60534,                 0.4567,                0.28472,                 1.2508,                  2.122,                  1.743,                 1.7491,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.3597,                 1.9523,                 1.8866,                 1.8148,                0.41427,                0.64343,                0.50943,                0.33461,                0.40897,                0.63785,                0.50581,                0.34482,                 1.1166,                 1.8728,                 1.8898,                 1.6668,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.2954,                 1.8873,                 1.8314,                 1.7608,                0.40405,                0.69798,                0.48083,                0.27775,                0.38012,                0.64724,                0.42323,                0.23936,                 1.2982,                 2.5446,                 1.8593,                 1.7514,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.3062,                 1.9192,                 1.7784,                 1.7566,                0.45936,                0.66161,                0.47586,                0.33014,                0.45492,                0.64993,                0.46488,                0.34314,                 1.1129,                 1.7901,                 1.5799,                 1.6555,              0.0013583,              0.0013583,              0.0013583
                     13,                  1.291,                 1.9085,                 1.7474,                 1.7565,                0.42461,                0.68198,                0.47883,                0.34197,                0.42319,                0.66787,                0.47619,                0.34381,                  1.054,                 1.8583,                 1.5711,                 1.6172,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.2353,                 1.8495,                 1.7284,                 1.7059,                0.35654,                0.72981,                0.40593,                0.28057,                0.35669,                0.72568,                0.39817,                 0.2922,                 1.1024,                 1.9181,                 1.7369,                 1.6462,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2324,                 1.8808,                 1.6964,                 1.6598,                0.49701,                 0.7069,                0.50714,                0.33586,                0.48446,                 0.6899,                0.48117,                0.33674,                 1.0847,                 1.7878,                 1.4925,                 1.5582,               0.001337,               0.001337,               0.001337
                     16,                 1.2218,                 1.8747,                 1.6846,                 1.6655,                0.45203,                0.66976,                0.47158,                0.32812,                0.43398,                 0.6915,                0.45129,                0.32841,                 1.0081,                  1.902,                 1.6748,                 1.5039,                0.00133,                0.00133,                0.00133
                     17,                 1.1712,                 1.8485,                 1.6956,                 1.6412,                0.51513,                0.68699,                0.57388,                0.40742,                0.51039,                0.68072,                0.56104,                 0.4142,                0.99675,                 1.7481,                 1.3653,                 1.5272,              0.0013229,              0.0013229,              0.0013229
                     18,                  1.135,                 1.7817,                  1.618,                 1.5964,                0.39409,                0.75668,                0.46213,                0.33205,                0.38431,                  0.737,                0.44679,                 0.3373,                0.98843,                  1.703,                  1.452,                 1.5408,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.1701,                 1.8192,                 1.6014,                 1.6274,                0.51698,                0.63804,                0.53281,                0.38101,                0.53523,                0.61238,                0.54399,                0.37619,                 1.0423,                 1.8967,                 1.4384,                 1.5566,              0.0013087,              0.0013087,              0.0013087
                     20,                  1.121,                 1.7738,                 1.5847,                 1.5823,                0.45994,                0.62562,                0.53555,                0.35867,                0.43221,                0.64196,                0.51817,                0.36449,                 1.0243,                 2.0036,                 1.5726,                 1.5039,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.0898,                 1.6966,                 1.5596,                 1.5443,                0.49383,                0.66434,                0.55726,                0.39699,                0.48621,                0.65485,                0.53817,                0.40252,                0.95154,                 1.6984,                 1.4268,                 1.4511,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.0807,                 1.7366,                 1.5051,                  1.532,                 0.4624,                0.73741,                0.54169,                0.39365,                0.44866,                0.71578,                0.52283,                0.39364,                0.94019,                 1.6679,                  1.306,                 1.4458,              0.0012875,              0.0012875,              0.0012875
                     23,                  1.061,                 1.6799,                 1.5072,                 1.5202,                0.47353,                0.74266,                0.54166,                0.39029,                0.46526,                0.73227,                 0.5231,                0.39607,                0.92351,                 1.6596,                 1.3075,                 1.4759,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.0447,                 1.6631,                 1.4967,                 1.5011,                0.50994,                0.65257,                0.53315,                0.38445,                0.50406,                0.62012,                0.51253,                 0.3825,                0.91691,                 1.7447,                 1.4116,                 1.4373,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0347,                 1.7564,                 1.4708,                 1.4944,                0.52528,                0.67091,                0.52883,                0.38374,                0.51653,                0.65675,                0.50936,                0.39051,                0.87866,                 1.6555,                  1.345,                 1.4118,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.0128,                 1.6344,                 1.4472,                 1.4881,                0.44604,                0.67076,                0.53401,                0.41318,                0.43467,                0.65595,                0.51552,                0.40508,                0.85638,                 1.7387,                 1.3282,                 1.4195,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.0262,                 1.6747,                 1.4643,                 1.5038,                0.56912,                0.68637,                0.58365,                0.43254,                0.56464,                0.67849,                0.56807,                0.42095,                0.89618,                 1.7467,                 1.2681,                 1.4455,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.0305,                  1.661,                 1.4479,                 1.4727,                0.47534,                0.73593,                0.57574,                0.42672,                0.46593,                0.72353,                0.54707,                0.41663,                 0.8992,                 1.7211,                 1.3004,                 1.4296,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.0331,                 1.7924,                 1.4812,                 1.5073,                0.47425,                0.71845,                0.51117,                0.38176,                0.46474,                0.70364,                0.49755,                0.38383,                0.94064,                  1.661,                 1.3036,                 1.4867,               0.001238,               0.001238,               0.001238
                     30,                 1.0281,                  1.679,                  1.451,                 1.4927,                0.47034,                0.67573,                 0.5324,                0.39165,                0.46101,                0.66186,                0.51806,                0.38886,                0.92864,                 1.6569,                 1.3234,                 1.4693,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0098,                 1.6145,                 1.4533,                 1.4657,                0.53608,                0.65577,                0.60047,                0.43725,                0.52579,                0.64339,                0.57392,                0.43872,                0.89306,                 1.6395,                  1.279,                 1.4193,              0.0012239,              0.0012239,              0.0012239
                     32,                0.97308,                 1.5829,                  1.419,                 1.4477,                0.55773,                0.61228,                0.55281,                0.39898,                0.49831,                0.59603,                 0.5262,                0.40185,                0.90917,                 1.7474,                 1.3575,                 1.4331,              0.0012168,              0.0012168,              0.0012168
                     33,                0.95281,                 1.5681,                 1.3684,                 1.4282,                0.54069,                0.70681,                0.61543,                0.45286,                0.54092,                0.69732,                0.59674,                0.45344,                0.85864,                 1.6484,                 1.2752,                 1.3895,              0.0012097,              0.0012097,              0.0012097
                     34,                0.99036,                 1.6805,                 1.3859,                 1.4448,                0.50968,                0.72814,                0.54223,                0.41141,                0.49879,                0.71568,                0.52549,                0.40726,                0.89099,                 1.7237,                 1.2615,                 1.4524,              0.0012026,              0.0012026,              0.0012026
                     35,                0.95876,                 1.5958,                 1.3889,                 1.4141,                0.46288,                0.71485,                0.50608,                0.38922,                   0.45,                0.69809,                0.48855,                0.38518,                0.87671,                 1.6836,                 1.3415,                 1.4152,              0.0011956,              0.0011956,              0.0011956
                     36,                0.95473,                 1.6421,                 1.3733,                 1.4195,                0.53709,                0.64651,                0.58173,                0.42239,                0.51747,                 0.6242,                 0.5543,                0.42268,                0.89129,                 1.6703,                 1.2889,                 1.4056,              0.0011885,              0.0011885,              0.0011885
                     37,                0.97749,                 1.5885,                 1.3937,                 1.4495,                0.52562,                0.60523,                0.55591,                0.41325,                 0.5378,                0.56236,                0.53559,                 0.4078,                0.84824,                 1.5856,                  1.315,                 1.3983,              0.0011814,              0.0011814,              0.0011814
                     38,                0.97076,                 1.5787,                 1.3532,                 1.4342,                0.56361,                0.64632,                0.61552,                0.44913,                0.54539,                0.62811,                  0.589,                0.44558,                0.86337,                 1.6321,                 1.1875,                 1.4151,              0.0011744,              0.0011744,              0.0011744
                     39,                0.94041,                 1.5546,                 1.3534,                 1.4189,                0.45775,                0.72703,                0.53391,                0.40249,                0.44035,                0.71554,                0.51336,                0.37388,                0.88621,                 1.8654,                 1.3492,                 1.4051,              0.0011673,              0.0011673,              0.0011673
                     40,                0.92295,                  1.579,                 1.3155,                 1.3965,                0.55913,                0.66861,                 0.5961,                0.44161,                0.54376,                0.65161,                0.56768,                0.42836,                0.78711,                 1.6521,                 1.1892,                 1.3246,              0.0011602,              0.0011602,              0.0011602
                     41,                0.92981,                  1.579,                 1.3352,                 1.3806,                0.53809,                0.70305,                0.60119,                0.43779,                0.52437,                 0.6841,                0.57814,                0.43849,                0.91974,                 1.6498,                 1.2338,                 1.4281,              0.0011531,              0.0011531,              0.0011531
                     42,                0.93011,                 1.5178,                 1.2845,                 1.3804,                0.56329,                0.65826,                0.60776,                0.46074,                0.55754,                0.64438,                0.59156,                0.45309,                0.85209,                    1.6,                 1.1952,                 1.3734,              0.0011461,              0.0011461,              0.0011461
                     43,                0.93007,                 1.5398,                 1.3139,                 1.3869,                0.53692,                0.65351,                 0.6053,                0.45709,                0.52358,                0.63935,                0.57911,                0.44658,                0.80661,                 1.6211,                 1.2371,                 1.3423,               0.001139,               0.001139,               0.001139
